2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
0.00170149 0.00183839 0.0021164 0.00271166 0.00329143 0.00377602 0.00427525 0.00470608 0.00513932 0.0055666 0.00590883 0.00630914 0.00663571 0.00635021 0.00670252 
0.00189176 0.00201345 0.00227995 0.00294482 0.00360297 0.00419898 0.00474034 0.00527256 0.00576784 0.00626941 0.00666899 0.00710253 0.0075415 0.00729021 0.00769719 
0.00187664 0.0020587 0.00244935 0.00311723 0.00374739 0.00427911 0.00477308 0.00524809 0.00569307 0.00612028 0.00647879 0.00688464 0.00721916 0.00696011 0.00729033 
0.00194404 0.00207465 0.00248079 0.00317655 0.00383393 0.00438802 0.00493259 0.0054132 0.00587345 0.00631413 0.00670939 0.00711935 0.00750293 0.00724104 0.00762341 
0.00174822 0.00194502 0.00228881 0.00289218 0.00345703 0.00393902 0.00438864 0.00478657 0.00519329 0.0055412 0.00585508 0.00620029 0.00651627 0.00627975 0.00658645 
0.00141946 0.001589 0.00189746 0.00238209 0.00284807 0.00322451 0.00358156 0.0038949 0.00419572 0.00446613 0.00471116 0.0049635 0.00521164 0.0050125 0.00526358 
0.00124575 0.00141246 0.00168742 0.00210365 0.00249706 0.00281918 0.00311637 0.00338434 0.00363557 0.0038625 0.00405816 0.00427348 0.00447299 0.0042897 0.00448869 
0.00103242 0.00117425 0.00139456 0.00172299 0.00203957 0.00229056 0.0025225 0.00272634 0.0029149 0.00308724 0.00323726 0.00339502 0.00355369 0.00341326 0.00355969 
0.000870899 0.00100925 0.00119374 0.00146379 0.00172165 0.00192162 0.00210955 0.00227054 0.00242116 0.00255714 0.00267432 0.00280028 0.00292291 0.00280458 0.00292358 
0.000745571 0.000875807 0.00103465 0.00125933 0.00147074 0.00163328 0.00178644 0.00191339 0.00203646 0.00214037 0.00223407 0.00233341 0.00243066 0.0023285 0.00242463 
0.000622537 0.000737443 0.000872183 0.00105612 0.00122638 0.00135698 0.00147594 0.0015772 0.00167517 0.00175385 0.0018261 0.00190232 0.00197694 0.00189164 0.00196395 
0.000520445 0.000619333 0.000734324 0.00088294 0.00102023 0.00112451 0.0012182 0.0013005 0.00137889 0.00144054 0.00149801 0.00155858 0.00161626 0.00154628 0.00160451 
0.000426643 0.000512212 0.000606276 0.000723344 0.000831409 0.000911911 0.00098365 0.00104576 0.00110514 0.00115066 0.00119513 0.00123933 0.00128338 0.00122638 0.00127419 
0.000353341 0.000426822 0.000503732 0.000596688 0.000682495 0.000744801 0.000800343 0.000847579 0.000893641 0.000928581 0.000962657 0.000996879 0.00103055 0.000984756 0.00102152 
0.000297861 0.000361735 0.000425394 0.000502046 0.000571759 0.00062192 0.000666335 0.000703412 0.0007399 0.00076641 0.000792837 0.000819668 0.000847831 0.000811053 0.000841114 
0.000247073 0.000300597 0.00035274 0.00041441 0.000470333 0.000510059 0.000545541 0.000574416 0.000603524 0.000624201 0.000645093 0.000666399 0.000688694 0.00065822 0.000682994 
0.000206863 0.000252311 0.000295314 0.000345515 0.000391003 0.000422695 0.00045098 0.000474255 0.000497731 0.000513989 0.000530692 0.000547773 0.000566341 0.000541279 0.000562016 
0.000172055 0.000209688 0.000244635 0.000284864 0.000321007 0.000346364 0.000369018 0.000387387 0.00040663 0.000420343 0.000434283 0.000448278 0.000463701 0.000443632 0.000460631 
0.00014569 0.000177035 0.00020567 0.000238842 0.000268336 0.000289167 0.000308056 0.000323614 0.000339692 0.000351303 0.000363152 0.000375215 0.000388682 0.000372335 0.000386783 
0.000123637 0.000149747 0.000173659 0.000201186 0.000225577 0.000242902 0.000258693 0.000271975 0.000285411 0.000295416 0.00030585 0.000316351 0.00032805 0.000314695 0.000327028 
